pfam_id	pfam_name	go_terms	source
PF10404	BHD_2	GO:0003677:DNA binding	GO
PF10405	BHD_3	GO:0003677:DNA binding	GO
PF10523	BEN	GO:0003677:DNA binding	GO
PF10729	CedA	GO:0003677:DNA binding	GO
PF11427	HTH_Tnp_Tc3_1	GO:0003677:DNA binding	GO
PF11520	Cren7	GO:0003690:double-stranded DNA binding	GO
PF11561	Saw1	GO:0070336:flap-structured DNA binding	GO
PF11680	DUF3276	GO:0000977:RNA polymerase II transcription regulatory region sequence-specific DNA binding; GO:0032422:purine-rich negative regulatory element binding	GO
PF11774	Lsr2	GO:0003677:DNA binding	GO
PF11799	IMS_C	GO:0003684:damaged DNA binding	GO
PF12619	MCM2_N	GO:0003677:DNA binding	GO
PF12658	Ten1	GO:0043047:single-stranded telomeric DNA binding	GO
PF12829	Mhr1	GO:0003697:single-stranded DNA binding	GO
PF12833	HTH_18	GO:0043565:sequence-specific DNA binding	GO
PF13404	HTH_AsnC-type	GO:0043565:sequence-specific DNA binding	GO
PF13411	MerR_1	GO:0003677:DNA binding	GO
PF13495	Phage_int_SAM_4	GO:0003677:DNA binding	GO
PF13545	HTH_Crp_2	GO:0003677:DNA binding	GO
PF13724	DNA_binding_2	GO:0003677:DNA binding	GO
PF13892	DBINO	GO:0003677:DNA binding	GO
PF13922	PHD_3	GO:0003677:DNA binding	GO
PF14144	DOG1	GO:0043565:sequence-specific DNA binding	GO
PF14372	hAT-like_RNase-H	GO:0003677:DNA binding	GO
PF14641	HTH_44	GO:0003677:DNA binding	GO
PF14659	Phage_int_SAM_3	GO:0003677:DNA binding	GO
PF15077	MAJIN	GO:0003677:DNA binding	GO
PF15337	Vasculin	GO:0003677:DNA binding	GO
PF15489	CTC1	GO:0003697:single-stranded DNA binding	GO
PF15490	Ten1_2	GO:0003697:single-stranded DNA binding	GO
PF15510	CENP-W	GO:0003677:DNA binding	GO
PF15673	Ciart	GO:0000976:transcription cis-regulatory region binding	GO
PF16326	ABC_tran_CTD	GO:0003677:DNA binding	GO
PF16422	COE1_DBD	GO:0003677:DNA binding	GO
PF16557	CUTL	GO:0003677:DNA binding	GO
PF16686	POT1PC	GO:0043047:single-stranded telomeric DNA binding	GO
PF16787	NDC10_II	GO:0003677:DNA binding	GO
PF16790	Phage_clamp_A	GO:0003677:DNA binding	GO
PF17538	C_LFY_FLO	GO:0003677:DNA binding	GO
PF17548	p6	GO:0003677:DNA binding	GO
PF17659	RADX	GO:0003697:single-stranded DNA binding	GO
PF17764	PriA_3primeBD	GO:0003677:DNA binding	GO
PF17879	DNA_ligase_C	GO:0003690:double-stranded DNA binding	GO
PF18024	HTH_50	GO:0003677:DNA binding	GO
PF18361	ssDBP_DBD	GO:0003697:single-stranded DNA binding	GO
PF19060	DVNP	GO:0003677:DNA binding	GO
PF19225	Spo16_N	GO:0000217:DNA secondary structure binding	GO
PF19368	WHD_AraR	GO:0003677:DNA binding	GO
PF20144	TIG_SUH	GO:0003677:DNA binding	GO
PF20432	Xre-like-HTH	GO:0003677:DNA binding	GO
PF20450	PPV_E1_DBD	GO:0003677:DNA binding	GO
PF21229	TdIF1_2nd	GO:0003677:DNA binding	GO
PF21438	Sap1_N	GO:0003677:DNA binding	GO
PF21524	SAMD1_WH	GO:0003677:DNA binding	GO
PF21531	Rv2175c_wHTH	GO:0003677:DNA binding	GO
PF22657	SSB_1	GO:0003697:single-stranded DNA binding	GO
PF24815	HMG_WDHD1	GO:0003677:DNA binding	GO
PF25716	BPP1_LPA	GO:0003677:DNA binding	GO
